RUN	sample.RecordedSimulation	recordedsimulation	1570981812088	 	3.2.1
USER	[Rest] Scenario	7	START	1570981813566	1570981813566
USER	[Rest] Scenario	1	START	1570981813565	1570981813565
USER	[Rest] Scenario	5	START	1570981813566	1570981813566
USER	[Rest] Scenario	11	START	1570981813575	1570981813575
USER	[Rest] Scenario	2	START	1570981813565	1570981813565
USER	[Rest] Scenario	10	START	1570981813568	1570981813568
USER	[Rest] Scenario	8	START	1570981813566	1570981813566
USER	[Rest] Scenario	4	START	1570981813565	1570981813565
USER	[Rest] Scenario	3	START	1570981813565	1570981813565
USER	[Rest] Scenario	6	START	1570981813566	1570981813566
USER	[Rest] Scenario	9	START	1570981813567	1570981813567
REQUEST	6		Get	1570981813595	1570981813719	OK	 
REQUEST	9		Get	1570981813595	1570981813721	OK	 
REQUEST	3		Get	1570981813595	1570981813718	OK	 
REQUEST	2		Get	1570981813598	1570981813720	OK	 
REQUEST	8		Get	1570981813595	1570981813717	OK	 
REQUEST	11		Get	1570981813595	1570981813717	OK	 
REQUEST	1		Get	1570981813595	1570981813717	OK	 
REQUEST	7		Get	1570981813595	1570981813721	OK	 
REQUEST	5		Get	1570981813596	1570981813718	OK	 
REQUEST	10		Get	1570981813595	1570981813717	OK	 
REQUEST	4		Get	1570981813595	1570981813721	OK	 
REQUEST	1		Post	1570981813800	1570981813828	OK	 
REQUEST	5		Post	1570981813800	1570981813829	OK	 
REQUEST	4		Post	1570981813800	1570981813830	OK	 
REQUEST	9		Post	1570981813800	1570981813831	OK	 
REQUEST	11		Post	1570981813803	1570981813831	OK	 
REQUEST	8		Post	1570981813801	1570981813832	OK	 
REQUEST	3		Post	1570981813803	1570981813833	OK	 
REQUEST	7		Post	1570981813801	1570981813834	OK	 
REQUEST	6		Post	1570981813801	1570981813835	OK	 
REQUEST	2		Post	1570981813800	1570981813836	OK	 
REQUEST	10		Post	1570981813801	1570981813836	OK	 
REQUEST	5		Get Binary	1570981813833	1570981813857	OK	 
REQUEST	1		Get Binary	1570981813830	1570981813856	OK	 
REQUEST	4		Get Binary	1570981813833	1570981813860	OK	 
REQUEST	7		Get Binary	1570981813834	1570981813861	OK	 
REQUEST	6		Get Binary	1570981813836	1570981813861	OK	 
REQUEST	3		Get Binary	1570981813834	1570981813861	OK	 
REQUEST	11		Get Binary	1570981813832	1570981813861	OK	 
REQUEST	10		Get Binary	1570981813837	1570981813864	OK	 
REQUEST	2		Get Binary	1570981813837	1570981813864	OK	 
REQUEST	8		Get Binary	1570981813833	1570981813864	OK	 
REQUEST	9		Get Binary	1570981813832	1570981813865	OK	 
REQUEST	5		Post Binary	1570981813859	1570981813884	OK	 
REQUEST	1		Post Binary	1570981813859	1570981813884	OK	 
REQUEST	11		Post Binary	1570981813862	1570981813887	OK	 
REQUEST	4		Post Binary	1570981813861	1570981813887	OK	 
REQUEST	6		Post Binary	1570981813863	1570981813887	OK	 
USER	[Rest] Scenario	4	END	1570981813565	1570981813888
USER	[Rest] Scenario	1	END	1570981813565	1570981813888
REQUEST	8		Post Binary	1570981813866	1570981813889	OK	 
REQUEST	9		Post Binary	1570981813866	1570981813889	OK	 
REQUEST	3		Post Binary	1570981813862	1570981813889	OK	 
REQUEST	7		Post Binary	1570981813862	1570981813889	OK	 
USER	[Rest] Scenario	6	END	1570981813566	1570981813888
USER	[Rest] Scenario	11	END	1570981813575	1570981813888
USER	[Rest] Scenario	5	END	1570981813566	1570981813888
USER	[Rest] Scenario	8	END	1570981813566	1570981813889
USER	[Rest] Scenario	9	END	1570981813567	1570981813889
USER	[Rest] Scenario	3	END	1570981813565	1570981813890
USER	[Rest] Scenario	7	END	1570981813566	1570981813890
REQUEST	2		Post Binary	1570981813865	1570981813893	OK	 
REQUEST	10		Post Binary	1570981813865	1570981813894	OK	 
USER	[Rest] Scenario	2	END	1570981813565	1570981813894
USER	[Rest] Scenario	10	END	1570981813568	1570981813894
USER	[Rest] Scenario	12	START	1570981814086	1570981814086
REQUEST	12		Get	1570981814088	1570981814146	OK	 
REQUEST	12		Post	1570981814147	1570981814174	OK	 
REQUEST	12		Get Binary	1570981814175	1570981814203	OK	 
REQUEST	12		Post Binary	1570981814204	1570981814231	OK	 
USER	[Rest] Scenario	12	END	1570981814086	1570981814232
USER	[Rest] Scenario	13	START	1570981814588	1570981814588
REQUEST	13		Get	1570981814589	1570981814640	OK	 
REQUEST	13		Post	1570981814642	1570981814667	OK	 
REQUEST	13		Get Binary	1570981814670	1570981814696	OK	 
REQUEST	13		Post Binary	1570981814696	1570981814718	OK	 
USER	[Rest] Scenario	13	END	1570981814588	1570981814719
USER	[Rest] Scenario	14	START	1570981815085	1570981815085
REQUEST	14		Get	1570981815088	1570981815141	OK	 
REQUEST	14		Post	1570981815143	1570981815166	OK	 
REQUEST	14		Get Binary	1570981815166	1570981815196	OK	 
REQUEST	14		Post Binary	1570981815196	1570981815220	OK	 
USER	[Rest] Scenario	14	END	1570981815085	1570981815221
USER	[Rest] Scenario	15	START	1570981815587	1570981815587
REQUEST	15		Get	1570981815587	1570981815637	OK	 
REQUEST	15		Post	1570981815641	1570981815666	OK	 
REQUEST	15		Get Binary	1570981815667	1570981815694	OK	 
REQUEST	15		Post Binary	1570981815695	1570981815722	OK	 
USER	[Rest] Scenario	15	END	1570981815587	1570981815723
USER	[Rest] Scenario	16	START	1570981816078	1570981816078
REQUEST	16		Get	1570981816078	1570981816125	OK	 
REQUEST	16		Post	1570981816127	1570981816152	OK	 
REQUEST	16		Get Binary	1570981816153	1570981816179	OK	 
REQUEST	16		Post Binary	1570981816180	1570981816205	OK	 
USER	[Rest] Scenario	16	END	1570981816078	1570981816206
USER	[Rest] Scenario	17	START	1570981816579	1570981816579
REQUEST	17		Get	1570981816580	1570981816630	OK	 
REQUEST	17		Post	1570981816631	1570981816656	OK	 
REQUEST	17		Get Binary	1570981816657	1570981816683	OK	 
REQUEST	17		Post Binary	1570981816684	1570981816709	OK	 
USER	[Rest] Scenario	17	END	1570981816579	1570981816710
USER	[Rest] Scenario	18	START	1570981817075	1570981817075
REQUEST	18		Get	1570981817076	1570981817124	OK	 
REQUEST	18		Post	1570981817125	1570981817151	OK	 
REQUEST	18		Get Binary	1570981817152	1570981817178	OK	 
REQUEST	18		Post Binary	1570981817179	1570981817206	OK	 
USER	[Rest] Scenario	18	END	1570981817075	1570981817209
USER	[Rest] Scenario	19	START	1570981817579	1570981817579
REQUEST	19		Get	1570981817579	1570981817624	OK	 
REQUEST	19		Post	1570981817625	1570981817649	OK	 
REQUEST	19		Get Binary	1570981817650	1570981817675	OK	 
REQUEST	19		Post Binary	1570981817675	1570981817700	OK	 
USER	[Rest] Scenario	19	END	1570981817579	1570981817701
USER	[Rest] Scenario	20	START	1570981818079	1570981818079
REQUEST	20		Get	1570981818079	1570981818126	OK	 
REQUEST	20		Post	1570981818128	1570981818152	OK	 
REQUEST	20		Get Binary	1570981818153	1570981818178	OK	 
REQUEST	20		Post Binary	1570981818179	1570981818206	OK	 
USER	[Rest] Scenario	20	END	1570981818079	1570981818207
